customer_id,order_id,order_date,product_id,quantity,amount
CUST_0165,ORD_10240,2025-03-20,PROD_021,3,709.53
CUST_0135,ORD_11368,2025-03-20,PROD_045,5,259.85
CUST_0070,ORD_11318,2025-03-21,PROD_032,2,796.24
CUST_0050,ORD_10549,2025-03-22,PROD_034,3,1494.3
CUST_0005,ORD_11358,2025-03-22,PROD_024,5,705.95
CUST_0155,ORD_11021,2025-03-23,PROD_041,3,579.66
CUST_0165,ORD_11102,2025-03-23,PROD_005,5,1425.05
CUST_0115,ORD_10291,2025-03-24,PROD_001,1,373.36
CUST_0085,ORD_11124,2025-03-24,PROD_043,3,194.46
CUST_0155,ORD_10569,2025-03-25,PROD_039,4,1035.04
CUST_0040,ORD_11362,2025-03-26,PROD_019,3,1061.67
CUST_0045,ORD_10452,2025-03-27,PROD_041,4,772.88
CUST_0125,ORD_10212,2025-03-29,PROD_029,4,822.84
CUST_0115,ORD_11171,2025-03-29,PROD_031,4,1727.76
CUST_0130,ORD_10182,2025-03-30,PROD_028,1,376.04
CUST_0115,ORD_10609,2025-04-02,PROD_031,5,2159.7
CUST_0165,ORD_10161,2025-04-03,PROD_002,1,78.37
CUST_0025,ORD_11402,2025-04-04,PROD_042,3,910.44
CUST_0020,ORD_10770,2025-04-05,PROD_037,1,153.82
CUST_0090,ORD_11186,2025-04-07,PROD_048,5,1342.8
CUST_0195,ORD_10518,2025-04-08,PROD_047,5,1666.4
CUST_0160,ORD_10180,2025-04-09,PROD_036,3,1159.83
CUST_0175,ORD_10573,2025-04-09,PROD_043,4,259.28
CUST_0195,ORD_10239,2025-04-12,PROD_029,5,1028.55
CUST_0010,ORD_11403,2025-04-13,PROD_025,1,114.19
CUST_0150,ORD_10458,2025-04-15,PROD_001,3,1120.08
CUST_0180,ORD_10832,2025-04-15,PROD_026,5,2217.45
CUST_0105,ORD_10948,2025-04-17,PROD_030,2,519.34
CUST_0145,ORD_11144,2025-04-19,PROD_043,2,129.64
CUST_0065,ORD_11268,2025-04-21,PROD_037,1,153.82
